Country Name;Country Code;avg_GDP_capita;max_year;GDP_capita_max_year;min_year;GDP_capita_min_year;%_change
Estonia;EST;19255;2019;23659.87229;2010;14790.821219999998;5.358335527197755
Eswatini;SWZ;4053;2019;4527.668988;2010;3447.6956990000003;3.0740941679558986
Ethiopia;ETH;598;2019;857.501351;2010;341.5541149;10.769316721712062
Euro area;EMU;38025;2019;40613.87428;2010;34381.554789999995;1.868231723421987
Europe & Central Asia;ECS;24554;2019;26301.08299;2010;22371.68239;1.8141950021911102
Europe & Central Asia (IDA & IBRD countries);TEC;9201;2019;10964.152409999999;2010;7651.578312999999;4.077829415313161
Europe & Central Asia (excluding high income);ECA;8670;2019;10729.40774;2010;7043.481347;4.787582260942824
European Union;EUU;33678;2019;35716.27366;2010;30473.740260000002;1.779436541881796
Faroe Islands;FRO;53902;2017;59440.03076;2010;48530.23385;2.9392379258834422
Fiji;FJI;5269;2019;6266.9679590000005;2010;3652.5274369999997;6.182159624217531
Finland;FIN;47698;2019;51081.99767;2010;42784.69836;1.988984251211301
Fragile and conflict affected situations;FCS;2364;2018;2796.198958;2010;2084.672111;3.738816520976429
France;FRA;40552;2019;43790.73205;2010;36638.18493;2.0012189260149693
Gabon;GAB;8604;2019;10809.64645;2010;6984.451019;4.97248255125291
Gambia;GMB;715;2019;860.6378737;2010;607.4284041;3.9474712522651556
Georgia;GEO;4297;2019;4769.186543;2010;3233.295943;4.413205305333179
Germany;DEU;44777;2019;47959.99327;2010;41139.54457;1.719023321188784
Ghana;GHA;1886;2019;2345.392906;2010;1299.344949;6.78223733199097
Greece;GRC;21383;2019;26917.758980000002;2010;18116.459619999998;4.497833259615613
Greenland;GRL;48071;2018;54470.95639;2010;43988.33249;2.707802591296238
Grenada;GRD;8848;2019;10965.513159999999;2010;7257.756622;4.692136368432975
Guam;GUM;33765;2018;35712.562139999995;2010;30700.43401;1.9083011377156511
Guatemala;GTM;3860;2019;4619.987097;2010;2898.942215;5.31470672018044
Guinea;GIN;800;2019;1064.1312369999998;2010;651.1353634999999;5.609419770520696
Guinea-Bissau;GNB;661;2019;777.9699218;2010;557.6321326000001;3.769168084360608
Guyana;GUY;4196;2019;5468.356629;2010;3033.247725;6.7674258785954455
Haiti;HTI;777;2019;868.3420248;2010;665.6274195;2.9980129299057134
Heavily indebted poor countries (HIPC);HPC;904;2019;962.9292205;2010;779.1447554;2.3810500155255987
High income;HIC;41646;2019;44583.55876;2010;38650.14499;1.5994861830390894
Honduras;HND;2262;2019;2574.912191;2010;1904.3464649999999;3.4087728447826926
Hong Kong SAR;HKG;41277;2019;48755.835080000004;2010;32549.99823;4.591716928091993
Hungary;HUN;14084;2019;16475.741840000002;2010;12651.56834;2.978014141327523
IBRD only;IBD;5743;2019;6564.920147;2010;4520.586656;4.232666930041296
IDA & IBRD total;IBT;4644;2019;5227.759059;2010;3707.50905;3.891850668813901
IDA blend;IDB;1817;2019;2105.0417780000002;2010;1536.688862;3.558579878306678
